Termin;Wochentag;Verband;Saison;Meisterschaft;Altersklasse;Liga;Staffel;Runde;BegegnungNr;HalleNr;HalleName;HalleStrasse;HallePLZ;HalleOrt;HeimVereinVerband;HeimVereinNr;HeimVereinName;HeimMannschaftAltersklasse;HeimMannschaftNr;GastVereinVerband;GastVereinNr;GastVereinName;GastMannschaftAltersklasse;GastMannschaftNr;SpieleHeim;SpieleGast
01.11.2014 19:10;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;25;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;1;TTVWH;12018;SV Gültlingen;Herren;1;2;9
08.11.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Damen;Damen Bezirksklasse;Damen Bezirksklasse;VR;3;;;;;;TTVWH;12041;TTG Unterreichenbach-Dennjächt;Damen;2;TTVWH;12015;SF Gechingen;Damen;1;2;8
12.11.2014 18:00;Mi.;TTVWH;Pokal 2014/15;Bezirk Schwarzwald Pokal 2014/15 Pokal;Jungen U18;Jungen Kreispokal A;Kreispokal Jungen A Calw;Pokal;301;;;;;;TTVWH;12003;TTF Althengstett;Jungen U18;1;TTVWH;12015;SF Gechingen;Jungen U18;2;4;3
15.11.2014 10:55;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Bezirksklasse;Bezirksklasse Jungen;VR;18;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Jungen U18;1;TTVWH;12007;TV Calmbach;Jungen U18;1;0;6
15.11.2014 12:45;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Kreisliga;Kreisliga Nord Jungen;VR;12;;;;;;TTVWH;12015;SF Gechingen;Jungen U18;2;TTVWH;12011;TV Ebhausen;Jungen U18;1;3;6
15.11.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;29;1;Silberdistelhalle;;72227;Egenhausen;TTVWH;12012;TTC Egenhausen;Herren;2;TTVWH;12015;SF Gechingen;Herren;3;9;1
15.11.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Damen;Damen Bezirksklasse;Damen Bezirksklasse;VR;14;;;;;;TTVWH;12015;SF Gechingen;Damen;1;TTVWH;12033;TV Oberhaugstett;Damen;1;8;1
15.11.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;28;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;2;TTVWH;12044;TSV Wildbad;Herren;2;9;7
15.11.2014 18:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;29;2;Turnhalle;Jahnstr.;75387;Oberhaugstett;TTVWH;12033;TV Oberhaugstett;Herren;2;TTVWH;12015;SF Gechingen;Herren;1;7;9
16.11.2014 17:45;So.;TTVWH;Pokal 2014/15;Bezirk Schwarzwald Pokal 2014/15 Pokal;Damen;Damen Bezirkspokal B;Bezirkspokal Damen B;Pokal;301;;;;;;TTVWH;12006;TTC Birkenfeld;Damen;1;TTVWH;12015;SF Gechingen;Damen;1;2;4
